authors,doi,title,classification_id,type,issued_date,subject,journal_title,publisher,issn,isbn,issue,volume,page,nhm_sub,oa_id,best_oa_url,updated_date,pdf_url,is_oa,doi_url,host_type,version,retrieved_date
"CHANI-POSSE, MARIANA; NEWTON, ALFRED F.; HANSEN, ASLAK KAPPEL; SOLODOVNIKOV, ALEXEY",10.11646/zootaxa.4449.1.1,Checklist and taxonomic changes for Central and South American Philonthina (Coleoptera: Staphylinidae),1,journal-article,2018-07-20,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Zootaxa,Magnolia Press,1175-5334,,1,4449,1,1,232,,2018-08-09,,0,https://doi.org/10.11646/zootaxa.4449.1.1,,,2018-09-15
"CARELLA, MIRCO; URIZ, MARIA J.",10.11646/zootaxa.4455.2.3,"Description of two new genera (Antarctotetilla, Levantiniella) and a new species of Tetillidae",1,journal-article,2018-08-02,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Zootaxa,Magnolia Press,1175-5334,,2,4455,295,1,240,https://digital.csic.es/bitstream/10261/168540/1/Restringido.pdf,2018-08-20,https://digital.csic.es/bitstream/10261/168540/1/Restringido.pdf,1,https://doi.org/10.11646/zootaxa.4455.2.3,repository,submittedVersion,2018-09-15
"Itano, Wayne M.; Lambert, Lance L.",10.1186/s40851-018-0097-8,A new cochliodont anterior tooth plate from the Mississippian of Alabama (USA) having implications for the origin of tooth plates from tooth files,1,journal-article,2018-06-06,,Zoological Letters,Springer Nature,2056-306X,,1,4,,1,247,https://zoologicalletters.biomedcentral.com/track/pdf/10.1186/s40851-018-0097-8,2018-08-06,https://zoologicalletters.biomedcentral.com/track/pdf/10.1186/s40851-018-0097-8,1,https://doi.org/10.1186/s40851-018-0097-8,publisher,publishedVersion,2018-09-15
"Weir, Caroline R.; Black, Andy",10.1186/s41200-018-0153-2,"Records of the dusky dolphin (Lagenorhynchus obscurus) in the Falkland Islands, including associations with Peale’s dolphin (L. australis)",1,journal-article,2018-08-10,"Ecology,Aquatic Science,Ecology, Evolution, Behavior and Systematics,Oceanography",Marine Biodiversity Records,"Springer Nature America, Inc",1755-2672,,1,11,,1,248,https://mbr.biomedcentral.com/track/pdf/10.1186/s41200-018-0153-2,2018-08-10,https://mbr.biomedcentral.com/track/pdf/10.1186/s41200-018-0153-2,1,https://doi.org/10.1186/s41200-018-0153-2,publisher,publishedVersion,2018-09-15
"El-Hawagry, Magdi S.",10.1186/s41938-018-0042-3,Catalogue of the Tachinidae of Egypt (Diptera: Oestroidea),1,journal-article,2018-05-30,,Egyptian Journal of Biological Pest Control,Springer Nature,2536-9342,,1,28,,0,249,,2018-06-20,,0,https://doi.org/10.1186/s41938-018-0042-3,,,2018-09-15
"GonzáLez-Santillán, Edmundo; Prendini, Lorenzo",10.1206/0003-0090-420.1.1,"Systematic Revision of the North American Syntropine Vaejovid Scorpion Genera Balsateres, Kuarapu, and Thorellius, With Descriptions of three New Species",1,journal-article,2018-06-20,"Agricultural and Biological Sciences (miscellaneous),Ecology",Bulletin of the American Museum of Natural History,American Museum of Natural History (BioOne sponsored),0003-0090,,,420,1-81,1,250,http://digitallibrary.amnh.org/bitstream/2246/6897/1/B420.pdf,2018-06-23,http://digitallibrary.amnh.org/bitstream/2246/6897/1/B420.pdf,1,https://doi.org/10.1206/0003-0090-420.1.1,repository,submittedVersion,2018-09-15
"Grimaldi, David A.",10.1206/0003-0090-421.1.1,Hirtodrosophila of North America (Diptera: Drosophilidae),1,journal-article,2018-06-21,"Agricultural and Biological Sciences (miscellaneous),Ecology",Bulletin of the American Museum of Natural History,American Museum of Natural History (BioOne sponsored),0003-0090,,421,421,1-75,1,251,http://digitallibrary.amnh.org/bitstream/2246/6898/1/B421.pdf,2018-07-31,http://digitallibrary.amnh.org/bitstream/2246/6898/1/B421.pdf,1,https://doi.org/10.1206/0003-0090-421.1.1,repository,submittedVersion,2018-09-15
"Albury, Nancy A.; Franz, Richard; Rimoli, Renato; Lehman, Phillip; Rosenberger, Alfred L.",10.1206/3904.1,"Fossil Land Tortoises (Testudines: Testudinidae) from the Dominican Republic, West Indies, with a Description of a New Species",1,journal-article,2018-08-09,"Archaeology,Museology,History",American Museum Novitates,American Museum of Natural History (BioOne sponsored),0003-0082,,3904,3904,1-28,1,252,,2018-08-10,,0,https://doi.org/10.1206/3904.1,,,2018-09-15
"Nishikawa, Teruaki",10.12782/specdiv.23.83,"Reinstatement of the Lancelet Name <i>Asymmetron lucayanum</i>, Recently Proposed as a Junior Synonym of <i>Branchiostoma pelagicum</i> (Cephalochordata)",1,journal-article,2018-05-25,,Species Diversity,Japanese Society of Systematic Zoology,1342-1670,,1,23,83-85,0,254,https://www.jstage.jst.go.jp/article/specdiv/23/1/23_230114/_pdf,2018-06-25,https://www.jstage.jst.go.jp/article/specdiv/23/1/23_230114/_pdf,1,https://doi.org/10.12782/specdiv.23.83,publisher,publishedVersion,2018-09-15
"Matsunuma, Mizuki; Motomura, Hiroyuki",10.12782/specdiv.23.95,Redescription and Geographic Variations of <i>Pterois antennata</i> and First Record of <i>Pterois paucispinula</i> from French Polynesia (Scorpaenidae: Pteroinae),1,journal-article,2018-05-25,,Species Diversity,Japanese Society of Systematic Zoology,1342-1670,,1,23,95-114,0,255,https://www.jstage.jst.go.jp/article/specdiv/23/1/23_230106/_pdf,2018-07-13,https://www.jstage.jst.go.jp/article/specdiv/23/1/23_230106/_pdf,1,https://doi.org/10.12782/specdiv.23.95,publisher,publishedVersion,2018-09-15
"Gómez, Kiko; Martinez, David; Espadaler, Xavier",10.13102/sociobiology.v65i2.2099,"Phylogeny of the ant genus Aphaenogaster (Hymenoptera: Formicidae) in the Iberian Peninsula, with the description of a new species",1,journal-article,2018-07-09,Insect Science,Sociobiology,Universidade Estadual de Feira de Santana,2447-8067,,2,65,215,1,256,http://periodicos.uefs.br/index.php/sociobiology/article/download/2099/2876,2018-07-09,http://periodicos.uefs.br/index.php/sociobiology/article/download/2099/2876,1,https://doi.org/10.13102/sociobiology.v65i2.2099,publisher,publishedVersion,2018-09-15
"Lavery, Alastair H.; Snazell, Rowley G.",10.13156/arac.2017.17.8.402,"Notiomaso spei (Araneae: Linyphiidae), a New Spider Species from South Georgia",1,journal-article,2018-07-01,"Insect Science,Ecology, Evolution, Behavior and Systematics",Arachnology,Arachology,2050-9928,,8,17,402-405,1,258,,2018-08-10,,0,https://doi.org/10.13156/arac.2017.17.8.402,,,2018-09-15
"Morgan, Ryan FitzGerald",10.1371/journal.pone.0197512,Niche partitioning as a mechanism for locally high species diversity within a geographically limited genus of blastoid,1,journal-article,2018-05-16,,PLOS ONE,Public Library of Science (PLoS),1932-6203,,5,13,e0197512,1,259,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0197512&type=printable,2018-05-16,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0197512&type=printable,1,https://doi.org/10.1371/journal.pone.0197512,publisher,publishedVersion,2018-09-15
"Paprocki, Henrique; Moreira-Silva, Larissa",10.1371/journal.pone.0197573,"New species of Plectromacronema Ulmer 1906 (Trichoptera: Hydropsychidae) from Brazil, with association of immature stages and aspects of its biology",1,journal-article,2018-06-13,"General Biochemistry, Genetics and Molecular Biology,General Agricultural and Biological Sciences,General Medicine",PLOS ONE,Public Library of Science (PLoS),1932-6203,,6,13,e0197573,1,261,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0197573&type=printable,2018-08-10,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0197573&type=printable,1,https://doi.org/10.1371/journal.pone.0197573,publisher,publishedVersion,2018-09-15
"Fischer, Johannes H.; Debski, Igor; Miskelly, Colin M.; Bost, Charles A.; Fromant, Aymeric; Tennyson, Alan J. D.; Tessler, Jake; Cole, Rosalind; Hiscock, Johanna H.; Taylor, Graeme A.; Wittmer, Heiko U.",10.1371/journal.pone.0197766,Analyses of phenotypic differentiations among South Georgian Diving Petrel (Pelecanoides georgicus) populations reveal an undescribed and highly endangered species from New Zealand,1,journal-article,2018-06-27,"General Biochemistry, Genetics and Molecular Biology,General Agricultural and Biological Sciences,General Medicine",PLOS ONE,Public Library of Science (PLoS),1932-6203,,6,13,e0197766,1,262,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0197766&type=printable,2018-06-28,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0197766&type=printable,1,https://doi.org/10.1371/journal.pone.0197766,publisher,publishedVersion,2018-09-15
"Matsumura, Hirofumi; Shinoda, Ken-ichi; Shimanjuntak, Truman; Oktaviana, Adhi Agus; Noerwidi, Sofwan; Octavianus Sofian, Harry; Prastiningtyas, Dyah; Nguyen, Lan Cuong; Kakuda, Tsuneo; Kanzawa-Kiriyama, Hideaki; Adachi, Noboru; Hung, Hsiao-chun; Fan, Xuechun; Wu, Xiujie; Willis, Anna; Oxenham, Marc F.",10.1371/journal.pone.0198689,"Cranio-morphometric and aDNA corroboration of the Austronesian dispersal model in ancient Island Southeast Asia: Support from Gua Harimau, Indonesia",1,journal-article,2018-06-22,"General Biochemistry, Genetics and Molecular Biology,General Agricultural and Biological Sciences,General Medicine",PLOS ONE,Public Library of Science (PLoS),1932-6203,,6,13,e0198689,1,263,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0198689&type=printable,2018-07-22,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0198689&type=printable,1,https://doi.org/10.1371/journal.pone.0198689,publisher,publishedVersion,2018-09-15
"Otero, Alejandro",10.1371/journal.pone.0198988,"Forelimb musculature and osteological correlates in Sauropodomorpha (Dinosauria, Saurischia)",1,journal-article,2018-07-05,"General Biochemistry, Genetics and Molecular Biology,General Agricultural and Biological Sciences,General Medicine",PLOS ONE,Public Library of Science (PLoS),1932-6203,,7,13,e0198988,1,265,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0198988&type=printable,2018-07-05,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0198988&type=printable,1,https://doi.org/10.1371/journal.pone.0198988,publisher,publishedVersion,2018-09-15
"Radenković, Snežana; Veličković, Nevena; Ssymank, Axel; Obreht Vidaković, Dragana; Djan, Mihajla; Ståhls, Gunilla; Veselić, Sanja; Vujić, Ante",10.1371/journal.pone.0200805,"Close relatives of Mediterranean endemo-relict hoverflies (Diptera, Syrphidae) in South Africa: Morphological and molecular evidence in the Merodon melanocerus subgroup",1,journal-article,2018-07-20,"General Biochemistry, Genetics and Molecular Biology,General Agricultural and Biological Sciences,General Medicine",PLOS ONE,Public Library of Science (PLoS),1932-6203,,7,13,e0200805,1,267,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0200805&type=printable,2018-07-26,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0200805&type=printable,1,https://doi.org/10.1371/journal.pone.0200805,publisher,publishedVersion,2018-09-15
"Özak, Argun Akif; Yanar, Alper; Sakarya, Yetkin; Boxshall, Geoffrey Allan",10.1515/ap-2018-0055,"The discovery of Lepeophtheirus acutus Heegaard, 1943 (Copepoda: Caligidae) from two new elasmobranch hosts in the Mediterranean Sea, and a comparative redescription of Lepeophtheirus rhinobati Luque, Chaves et Cezar, 1998",1,journal-article,2018-09-25,Parasitology,Acta Parasitologica,Walter de Gruyter GmbH,1896-1851,,3,63,454-473,1,269,,2018-08-10,,0,https://doi.org/10.1515/ap-2018-0055,,,2018-09-15
"Gustafsson, Daniel R.; Chu, Xingzhi; Bush, Sarah E.; Zou, Fasheng",10.1515/ap-2018-0063,"Ten new species of Brueelia Kéler, 1936 (Phthiraptera: Ischnocera: Philopteridae) from nuthatches (Aves: Passeriformes: Sittidae), tits and chickadees (Paridae), and goldcrests (Regulidae)",1,journal-article,2018-09-25,Parasitology,Acta Parasitologica,Walter de Gruyter GmbH,1896-1851,,3,63,527-557,1,270,,2018-07-13,,0,https://doi.org/10.1515/ap-2018-0063,,,2018-09-15
"Kruskop, S.V.; Borisenko, A.V.; Dudorova, A.V.; Artyushin, I.V.",10.15298/rusjtheriol.17.1.02,"Description of a new Indochinese Myotis (Mammalia: Chiroptera: Vespertilionidae), with additional data on the ""M. annatessae"" species complex",1,journal-article,2018-06-26,"Plant Science,Ecology, Evolution, Behavior and Systematics",Russian Journal of Theriology,KMK Scientific Press,1682-3559,,1,17,17-31,1,272,,2018-08-08,,0,https://doi.org/10.15298/rusjtheriol.17.1.02,,,2018-09-15
"Johnson, Paul J.; Boyd, Hannah K.; Chaboo, Caroline S.",10.15381/rpb.v25i2.14685,"New species of Elateridae (Coleoptera) from Madre de Dios, Peru, with new taxonomic changes and distribution records",1,journal-article,2018-05-31,,Revista Peruana de Biología,"Universidad Nacional Mayor de San Marcos, Vicerectorado de Investigacion",1727-9933,,2,25,075,1,273,http://revistasinvestigacion.unmsm.edu.pe/index.php/rpb/article/download/14685/12892,2018-07-10,http://revistasinvestigacion.unmsm.edu.pe/index.php/rpb/article/download/14685/12892,1,https://doi.org/10.15381/rpb.v25i2.14685,publisher,publishedVersion,2018-09-15
"Ripka, G.; Csóka, Gy.; Érsek, L.",10.1556/038.52.2017.034,Recent data to the jumping plant-lice fauna of Hungary (Hemiptera: Psylloidea),1,journal-article,2018-06-01,"Plant Science,Insect Science",Acta Phytopathologica et Entomologica Hungarica,Akademiai Kiado Zrt.,0238-1249,,1,53,67-82,0,274,,2018-06-17,,0,https://doi.org/10.1556/038.52.2017.034,,,2018-09-15
"CUEZZO, MARÍA GABRIELA; LIMA, AUGUSTO P. DE; SANTOS, SONIA B. DOS",10.1590/0001-3765201820170261,"Solaropsis brasiliana, anatomy, range extension and its phylogenetic position within Pleurodontidae (Mollusca, Gastropoda, Stylommatophora)",1,journal-article,2018-07-19,Multidisciplinary,Anais da Academia Brasileira de Ciências,FapUNIFESP (SciELO),1678-2690,,,,,1,275,http://www.scielo.br/pdf/aabc/2018nahead/0001-3765-aabc-201820170261.pdf,2018-08-08,http://www.scielo.br/pdf/aabc/2018nahead/0001-3765-aabc-201820170261.pdf,1,https://doi.org/10.1590/0001-3765201820170261,publisher,publishedVersion,2018-09-15
"BELTRAMINO, ARIEL A.; VOGLER, ROBERTO E.; RUMI, ALEJANDRA; GUZMÁN, LEILA B.; MARTÍN, STELLA M.; PESO, JUANA G.",10.1590/0001-3765201820170766,"The exotic jumping snail Ovachlamys fulgens (Gude, 1900) (Gastropoda: Helicarionidae) in urban areas of the Upper-Paraná Atlantic Forest",1,journal-article,2018-05-14,Multidisciplinary,Anais da Academia Brasileira de Ciências,FapUNIFESP (SciELO),1678-2690,,2,90,1591-1603,1,276,http://www.scielo.br/pdf/aabc/2018nahead/0001-3765-aabc-201820170766.pdf,2018-05-15,http://www.scielo.br/pdf/aabc/2018nahead/0001-3765-aabc-201820170766.pdf,1,https://doi.org/10.1590/0001-3765201820170766,publisher,publishedVersion,2018-09-15
"Siewert, Ricardo R.; Leviski, Gabriela L.; Mielke, Olaf H. H.; Casagrande, Mirna M.",10.1590/1678-4766e2018023,A remarkable new species of Phocides (Lepidoptera: Hesperiidae) from Bolivia and taxonomic considerations on Phocides charon,1,journal-article,2018-06-25,Animal Science and Zoology,Iheringia. Série Zoologia,FapUNIFESP (SciELO),1678-4766,,0,108,,1,277,http://www.scielo.br/pdf/isz/v108/1678-4766-isz-108-e2018023.pdf,2018-08-09,http://www.scielo.br/pdf/isz/v108/1678-4766-isz-108-e2018023.pdf,1,https://doi.org/10.1590/1678-4766e2018023,publisher,publishedVersion,2018-09-15
"Astarloa, Juan M. Díaz de; Munroe, Thomas A.; Béarez, Philippe; Gonzalez-Castro, Mariano; Castellini, Damián L.",10.1590/1982-0224-20170164,"External morphology, postcranial and appendicular osteology of three southwestern Atlantic flatfishes ( Paralichthys , Paralichthyidae), and comparisons with other congeneric species",1,journal-article,2018-07-16,Aquatic Science,Neotropical Ichthyology,FapUNIFESP (SciELO),1982-0224,,2,16,,1,278,http://www.scielo.br/pdf/ni/v16n2/1982-0224-ni-16-02-e170164.pdf,2018-08-10,http://www.scielo.br/pdf/ni/v16n2/1982-0224-ni-16-02-e170164.pdf,1,https://doi.org/10.1590/1982-0224-20170164,publisher,publishedVersion,2018-09-15
"Mandagi, Ixchel F.; Mokodongan, Daniel F.; Tanaka, Rieko; Yamahira, Kazunori",10.1643/ci-17-704,"A New Riverine Ricefish of the Genus Oryzias (Beloniformes, Adrianichthyidae) from Malili, Central Sulawesi, Indonesia",1,journal-article,2018-07-01,"Animal Science and Zoology,Aquatic Science,Ecology, Evolution, Behavior and Systematics",Copeia,American Society of Ichthyologists and Herpetologists (ASIH),0045-8511,,2,106,297-304,1,279,,2018-08-10,,0,https://doi.org/10.1643/ci-17-704,,,2018-09-15
"Gimmel, Matthew L.; Johnston, M. Andrew; Merkl, Ottó",10.1649/0010-065x-72.2.269,"Enneboeus marmoratus Champion New to the USA, with a World Catalog of the Family Archeocrypticidae (Coleoptera: Tenebrionoidea)",1,journal-article,2018-06-01,Insect Science,The Coleopterists Bulletin,Coleopterists Society,0010-065X,,2,72,269-278,1,280,,2018-08-10,,0,https://doi.org/10.1649/0010-065x-72.2.269,,,2018-09-15
"Chatzimanolis, Stylianos",10.1649/0010-065x-72.2.279,A Review of the Genera Dysanellus Bernhauer and Torobus Herman (Coleoptera: Staphylinidae: Staphylininae: Staphylinini),1,journal-article,2018-06-01,Insect Science,The Coleopterists Bulletin,Coleopterists Society,0010-065X,,2,72,279-291,1,281,,2018-08-06,,0,https://doi.org/10.1649/0010-065x-72.2.279,,,2018-09-15
"López-García, Margarita M.; Deloya, Cuauhtémoc",10.1649/0010-065x-72.2.331,Description of the Female of Tomarus rostratus Dupuis and New Synonyms and Records for the Genus Tomarus Erichson (Coleoptera: Scarabaeidae: Dynastinae),1,journal-article,2018-06-01,Insect Science,The Coleopterists Bulletin,Coleopterists Society,0010-065X,,2,72,331-338,1,282,,2018-08-08,,0,https://doi.org/10.1649/0010-065x-72.2.331,,,2018-09-15
"Ferreira, Vinicius S.; Barclay, Maxwell V. L.; Ivie, Michael A.",10.1649/0010-065x-72.2.371,"Redescription of Aporrhipis Pascoe, 1887 (Coleoptera: Lycidae), with a Discussion of its Tribal Placement",1,journal-article,2018-06-01,Insect Science,The Coleopterists Bulletin,Coleopterists Society,0010-065X,,2,72,371-375,1,283,,2018-08-07,,0,https://doi.org/10.1649/0010-065x-72.2.371,,,2018-09-15
"Córdoba, Silvia P.; Atkinson, Thomas H.",10.1649/0010-065x-72.2.376,New Records of Scolytinae (Coleoptera: Curculionidae) from Argentina,1,journal-article,2018-06-01,Insect Science,The Coleopterists Bulletin,Coleopterists Society,0010-065X,,2,72,376-379,1,284,,2018-07-21,,0,https://doi.org/10.1649/0010-065x-72.2.376,,,2018-09-15
"Wells, Carrie; Munn, Arryn; Woodworth, Chelsea",10.1653/024.101.0207,Geomorphic Morphometric Differences between Populations of Speyeria diana (Lepidoptera: Nymphalidae),1,journal-article,2018-06-01,"Insect Science,Ecology, Evolution, Behavior and Systematics",Florida Entomologist,Florida Entomological Society,0015-4040,,2,101,195-202,1,285,https://doi.org/10.1653/024.101.0207,2018-09-15,,1,https://doi.org/10.1653/024.101.0207,publisher,publishedVersion,2018-09-15
"Itano, Wayne M.",10.1660/062.121.0214,"A Tooth Whorl of Edestus heinrichi (Chondrichthyes, Eugeneodontiformes) Displaying Progressive Macrowear",1,journal-article,2018-04-01,,Transactions of the Kansas Academy of Science,Kansas Academy of Science,0022-8443,,1-2,121,125-133,1,286,,2018-06-20,,0,https://doi.org/10.1660/062.121.0214,,,2018-09-15
"Khan, Muhammad Akbar",10.17582/journal.pjz/2018.50.4.1367.1372,"Hexaprotodon (Mammalia: Hippopotamidae) from the Pinjor Formation of Bhimber, Azad Kashmir, Pakistan",1,journal-article,2018-06-01,,Pakistan Journal of Zoology,Research Links Ltd.,0030-9923,,4,50,,1,288,https://doi.org/10.17582/journal.pjz/2018.50.4.1367.1372,2018-07-10,,1,https://doi.org/10.17582/journal.pjz/2018.50.4.1367.1372,publisher,publishedVersion,2018-09-15
"Seitz, Jason C.; Waters, John D.",10.18785/gcr.2901.05,Clarifying the Range of the Endangered Largetooth Sawfish in the United States,1,journal-article,2018-07-01,,Gulf and Caribbean Research,University of Southern Mississippi,2572-1410,,1,29,15-22,0,289,https://aquila.usm.edu/cgi/viewcontent.cgi?article=1548&context=gcr,2018-08-06,https://aquila.usm.edu/cgi/viewcontent.cgi?article=1548&context=gcr,1,https://doi.org/10.18785/gcr.2901.05,publisher,publishedVersion,2018-09-15
"Chimenz Gusso, Carla; Boccia, Priscilla; Giovannini, Nicola",10.21426/b6110111, Importance of faunistic and taxonomical studies for a correct analysis of the zoogeography of Mediterranean Bryozoa,1,journal-article,2004-07-01,,Biogeographia – The Journal of Integrative Biogeography,California Digital Library (CDL),1594-7629,,,25,,0,290,https://cloudfront.escholarship.org/dist/prd/content/qt6dp5x4hh/qt6dp5x4hh.pdf?t=op39s0,2018-01-31,https://cloudfront.escholarship.org/dist/prd/content/qt6dp5x4hh/qt6dp5x4hh.pdf?t=op39s0,1,https://doi.org/10.21426/b6110111,publisher,publishedVersion,2018-09-15
"Karamaouna, F.; Samara, M.; Kati, V.; Mitroiu, M.-D.",10.2478/hppj-2018-0007,First record of parasitoids associated with insects inhabiting capsules of Papaver rhoeas in Greece,1,journal-article,2018-07-01,"Agronomy and Crop Science,Plant Science",Hellenic Plant Protection Journal,Walter de Gruyter GmbH,1791-3691,,2,11,54-58,1,291,https://content.sciendo.com/downloadpdf/journals/hppj/11/2/article-p54.pdf,2018-08-03,https://content.sciendo.com/downloadpdf/journals/hppj/11/2/article-p54.pdf,1,https://doi.org/10.2478/hppj-2018-0007,publisher,publishedVersion,2018-09-15
"Kirwan, Guy M.; Shirihai, Hadoram; Schweizer, Manuel",10.25226/bboc.v138i2.2018.a6,"A morphological revision of Mascarene Swiftlet Aerodramus francicus, with the description of a new subspecies from Reunion",1,journal-article,2018-06-01,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Bulletin of the British Ornithologists' Club,British Ornithologists' Club,0007-1595,,2,138,117-130,1,292,https://doi.org/10.25226/bboc.v138i2.2018.a6,2018-08-07,,1,https://doi.org/10.25226/bboc.v138i2.2018.a6,publisher,publishedVersion,2018-09-15
"Aimassi, Giorgio; Dickinson, Edward C.",10.25226/bboc.v138i2.2018.a8,"Hemixus sumatranus Wardlaw Ramsay, 1882, and Hemixus sumatranus Salvadori, 1888",1,journal-article,2018-06-01,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",Bulletin of the British Ornithologists' Club,British Ornithologists' Club,0007-1595,,2,138,135-139,1,293,https://doi.org/10.25226/bboc.v138i2.2018.a8,2018-06-26,,1,https://doi.org/10.25226/bboc.v138i2.2018.a8,publisher,publishedVersion,2018-09-15
"Pérez-García, Adán",10.26879/849,New insights on the only bothremydid turtle (Pleurodira) identified in the British record: Palemys bowerbankii new combination,1,journal-article,2018-07-01,Oceanography,Palaeontologia Electronica,Coquina Press,1935-3952,,,,,1,294,https://palaeo-electronica.org/content/pdfs/849.pdf,2018-08-09,https://palaeo-electronica.org/content/pdfs/849.pdf,1,https://doi.org/10.26879/849,publisher,publishedVersion,2018-09-15
"Brewer, Philippa; Archer, Michael; Hand, Suzanne; Price, Gilbert",10.26879/870,"A new species of Miocene wombat (Marsupialia, Vombatiformes) from Riversleigh, Queensland, Australia, and implications for the evolutionary history of the Vombatidae",1,journal-article,2018-07-01,Oceanography,Palaeontologia Electronica,Coquina Press,1935-3952,,,,,1,295,https://palaeo-electronica.org/content/pdfs/870.pdf,2018-08-08,https://palaeo-electronica.org/content/pdfs/870.pdf,1,https://doi.org/10.26879/870,publisher,publishedVersion,2018-09-15
"Hemp, Claudia; Hemp, Andreas",10.2982/028.107.0102,Conservation Status of the Elegant Yellow-Black Bush-Cricket Meruterrana elegans (Orthoptera: Phaneropterinae)—A Critically Endangered Species on Mount Kenya,1,journal-article,2018-08-01,,Journal of East African Natural History,East African Natural History Society,1026-1613,,1,107,9-16,1,296,,2018-08-10,,0,https://doi.org/10.2982/028.107.0102,,,2018-09-15
"Melo-Sampaio, Paulo R.; Oliveira, Renan M. De; Prates, Ivan",10.2994/sajh-d-17-00098.1,"A New Nurse Frog from Brazil (Aromobatidae: Allobates), with Data on the Distribution and Phenotypic Variation of Western Amazonian Species",1,journal-article,2018-08-01,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics",South American Journal of Herpetology,Brazilian Herpetological Society,1808-9798,,2,13,131-149,1,297,,2018-07-30,,0,https://doi.org/10.2994/sajh-d-17-00098.1,,,2018-09-15
"Reynolds, R. Graham; Henderson, Robert W.",10.3099/mcz48.1,"Boas of the World (Superfamily Booidae): A Checklist With Systematic, Taxonomic, and Conservation Assessments",1,journal-article,2018-09-01,,Bulletin of the Museum of Comparative Zoology,"Museum of Comparative Zoology, Harvard University",0027-4100,,1,162,1-58,1,299,,2018-09-01,,0,https://doi.org/10.3099/mcz48.1,,,2018-09-15
"Benyamini, Dubi; Aristophanous, Marios; Aristophanous, Aristos; John, Eddie",10.31184/g00138894.693.1648,"The Biology of the Cyprus endemic blue Glaucopsyche paphos Chapman, 1920 (Lepidoptera: Lycaenidae, Polyommatinae)",1,journal-article,2018-07-01,"Insect Science,Ecology, Evolution, Behavior and Systematics",Entomologist's Gazette,Pemberley Books (Publishing),0013-8894,,3,69,151-165,0,300,,2018-08-01,,0,https://doi.org/10.31184/g00138894.693.1648,,,2018-09-15
"Minaei, Kambiz; Mombeini, Saeideh; Ramezani, Leila",10.3157/021.127.0406,A New Bicolored Haplothrips Species from Southern Iran (Thysanoptera: Phlaeothripidae),1,journal-article,2018-04-01,,Entomological News,American Entomological Society,0013-872X,,4,127,343-348,1,301,,2018-06-20,,0,https://doi.org/10.3157/021.127.0406,,,2018-09-15
"Smith, David R.",10.3157/061.144.0203,"Neotropical Pristaulacus Kieffer (Hymenoptera: Aulacidae), Species with Acute Anterolateral Mesonotal Projections",1,journal-article,2018-07-01,"Insect Science,Ecology, Evolution, Behavior and Systematics",Transactions of the American Entomological Society,American Entomological Society,0002-8320,,2,144,309-345,1,302,,2018-08-07,,0,https://doi.org/10.3157/061.144.0203,,,2018-09-15
"Roháček, Jlndřich",10.3161/00034541anz2018.68.2.006,"European Chiropteromyzidae (Diptera): Taxonomic Revision, Nomenclature, Classification and Preimaginal Stages",1,journal-article,2018-06-01,"Ecology, Evolution, Behavior and Systematics",Annales Zoologici,Museum and Institute of Zoology at the Polish Academy of Sciences,0003-4541,,2,68,281-316,1,303,,2018-08-07,,0,https://doi.org/10.3161/00034541anz2018.68.2.006,,,2018-09-15
"Seidel, Matthias; Minoshima, Yûsuke N.; Arriaga-Varela, Emmanuel; Fikáček, Martin",10.3161/00034541anz2018.68.2.011,Breaking a Disjunct Distribution: A Review of the Southern Hemisphere Genera Cylorygmus and Relictorygmus gen. nov. (Hydrophilidae: Cylominae),1,journal-article,2018-06-01,"Ecology, Evolution, Behavior and Systematics",Annales Zoologici,Museum and Institute of Zoology at the Polish Academy of Sciences,0003-4541,,2,68,375-402,1,304,,2018-08-06,,0,https://doi.org/10.3161/00034541anz2018.68.2.011,,,2018-09-15
"Borovec, Roman; Oberprieler, Rolf; Meregalli, Massimo",10.3390/d10020030,"The Enigmatic Weevil Genus Philetaerobius from Southern Africa: Definition, Affinities and Description of Three New Species (Coleoptera: Curculionidae: Entiminae)",1,journal-article,2018-05-01,,Diversity,MDPI AG,1424-2818,,2,10,30,1,305,http://www.mdpi.com/1424-2818/10/2/30/pdf,2018-05-03,http://www.mdpi.com/1424-2818/10/2/30/pdf,1,https://doi.org/10.3390/d10020030,publisher,publishedVersion,2018-09-15
